,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
391,bonfim,75,BR,1553198400,88,-20.33,-44.24,75.2,6.93
392,culebra,90,US,1553203256,87,34.68,-105.77,48,19.46
393,carutapera,88,BR,1553203471,97,-1.2,-46.02,77.74,4.23
394,sohagpur,0,IN,1553203471,39,22.7,78.2,61.18,3.11
395,tiksi,0,RU,1553203471,64,71.64,128.87,-0.48,17.65
396,bolobo,0,CD,1553203471,78,-2.17,16.23,79.54,2.84
397,beringovskiy,0,RU,1553203472,79,63.05,179.32,-4.35,14.63
398,le moule,90,GP,1553200200,61,16.33,-61.35,80.6,14.99
399,mahina,12,ML,1553203472,37,13.76,-10.85,82.24,5.23
400,mugumu,56,TZ,1553203472,96,-1.84,34.67,60.19,3.33
401,chumikan,0,RU,1553203473,66,54.72,135.31,-9.12,3.62
402,washington,90,US,1553203336,93,38.9,-77.04,51.01,10.29
403,kungurtug,8,RU,1553203473,64,50.6,97.53,-8.58,2.33
404,gondar,0,PT,1553203363,66,41.82,-8.78,54,3.36
405,karratha,44,AU,1553203474,67,-20.74,116.85,84.4,16.71
406,uvinza,0,TZ,1553203474,92,-5.1,30.39,64.51,2.1
407,karlivka,12,UA,1553203474,90,49.46,35.11,34.81,7.43
408,okhotsk,48,RU,1553203474,99,59.36,143.24,3.58,4.07
409,dvinskoy,88,RU,1553203474,89,62.16,45.12,30.49,5.91
410,cap malheureux,40,MU,1553203441,74,-19.98,57.61,82.4,4.7
411,soderhamn,0,SE,1553203328,38,61.3,17.06,42.01,8.99
412,reconquista,0,AR,1553203475,78,-29.14,-59.64,69.91,4.52
413,dzerzhinskoye,24,RU,1553203475,85,56.84,95.22,17.71,4.85
414,oksfjord,75,NO,1553201400,74,70.24,22.35,35.6,31.09
415,port-gentil,40,GA,1553202000,83,-0.72,8.78,84.2,6.93
416,mariinsk,0,RU,1553203476,69,56.21,87.75,11.68,4.52
417,hualmay,24,PE,1553203476,69,-11.1,-77.61,76.21,4.9
418,ankazobe,75,MG,1553202000,100,-18.32,47.12,64.4,4.7
419,hervey bay,8,AU,1553202908,94,-25.3,152.85,77,4.7
420,suoyarvi,92,RU,1553203477,90,62.08,32.35,31.48,6.31
421,abha,0,SA,1553198400,45,18.22,42.5,64.4,12.75
422,wawa,44,NG,1553203477,66,9.9,4.41,81.34,5.12
423,bima,80,ID,1553203478,92,-8.45,118.73,78.82,5.08
424,karaton,20,ID,1553203416,83,-6.34,106.1,82.99,5.82
425,ixtapa,5,MX,1553203220,74,20.71,-105.21,79,16.11
426,guanica,1,PR,1553203226,58,17.97,-66.91,82.99,6.93
427,miram shah,0,PK,1553203478,61,33.01,70.07,38.77,4.41
428,grabouw,0,ZA,1553203367,77,-34.15,19.01,64.99,19.46
429,khudumelapye,0,BW,1553203479,23,-23.91,24.95,74.14,11.95
430,oulainen,88,FI,1553203205,10,64.27,24.8,35.01,8.01
431,portland,90,US,1553203010,66,45.52,-122.67,59,4.7
432,qandala,0,SO,1553203479,82,11.47,49.87,64.06,3.22
433,saint-ambroise,0,FR,1553203325,81,47.25,-0.65,51.01,5.82
434,meadow lake,5,CA,1553202000,37,54.13,-108.44,50,11.41
435,atambua,0,ID,1553203480,100,-9.11,124.89,78.28,4.34
436,khilok,44,RU,1553203480,69,51.36,110.46,13.21,4.56
437,shingu,24,JP,1553203481,96,33.72,135.99,61.18,12.95
438,alta floresta,20,BR,1553198400,78,-9.87,-56.08,80.6,4.7
439,trifesti,0,RO,1553202922,52,47.45,27.52,46.4,6.93
440,maraa,24,BR,1553203481,85,-1.83,-65.37,82.96,3.74
441,presidente medici,88,BR,1553203481,78,-11.18,-61.9,82.69,3
442,tura,12,IN,1553203482,77,25.52,90.21,65.68,2.28
443,eenhana,76,NA,1553198400,31,-17.48,16.34,87.8,4.7
444,kilimatinde,76,TZ,1553203482,92,-5.75,34.82,64.69,4.9
445,itaqui,48,BR,1553203482,43,-29.13,-56.55,74.14,12.57
446,uni,0,RU,1553203482,81,57.75,51.49,17.71,2.62
447,georgiyevka,32,RU,1553203483,85,52.25,40.45,26.62,3.11
448,udachnyy,80,RU,1553203483,79,66.42,112.4,14.2,8.1
449,sambava,56,MG,1553203483,100,-14.27,50.17,81.88,12.91
450,oga,44,NG,1553203483,85,8.18,5.65,73.69,12.28
451,bayangol,48,MN,1553203484,77,48.91,106.09,16.81,5.53
452,les cayes,48,HT,1553203484,98,18.19,-73.75,80.53,8.93
453,santiago de las vegas,75,CU,1553202785,57,22.97,-82.39,77,16.11
454,tilichiki,20,RU,1553203484,86,60.47,166.1,6.55,6.35
455,khandyga,0,RU,1553203485,28,62.65,135.58,-19.65,2.51
456,northam,75,GB,1553203333,87,51.04,-4.21,51.01,4.7
457,bushehr,40,IR,1553198400,42,28.97,50.84,68,3.62
458,misratah,100,LY,1553203208,99,32.38,15.09,56.23,5.75
459,verkhoyansk,0,RU,1553203485,0,67.55,133.39,-31.35,2.55
460,emmett,75,US,1553203263,23,43.87,-116.5,66,3.33
461,milkovo,75,BG,1553203085,66,41.53,24.68,51.8,8.05
462,along,100,IN,1553203486,95,28.17,94.8,51.91,1.72
463,alyangula,80,AU,1553198400,100,-13.85,136.42,77,2.24
464,general roca,0,AR,1553198400,37,-39.03,-67.58,71.6,3.36
465,chulman,24,RU,1553203487,61,56.84,124.9,-9.3,3.78
466,bandar-e lengeh,92,IR,1553203487,85,26.56,54.88,74.77,12.46
467,batagay,0,RU,1553203487,0,67.65,134.64,-31.17,2.89
468,jacareacanga,40,BR,1553198400,83,-6.22,-57.76,82.4,8.05
469,madison,1,US,1553203435,50,43.07,-89.38,52,18.34
470,aswan,0,EG,1553198400,13,24.09,32.9,78.8,8.05
471,pak phanang,0,TH,1553203488,100,8.35,100.2,79.54,5.79
472,bandarbeyla,8,SO,1553203488,100,9.49,50.81,77.56,6.53
473,mosquera,75,CO,1553198400,87,4.71,-74.23,59,9.17
474,kidal,0,ML,1553203489,13,18.44,1.41,69.73,10.83
475,pokhara,0,NP,1553203489,50,28.21,83.99,50.11,4.52
476,mount gambier,90,AU,1553200200,100,-37.83,140.78,62.6,8.05
477,atar,88,MR,1553203489,15,20.52,-13.05,80.35,5.53
478,vanimo,68,PG,1553203490,100,-2.67,141.3,81.88,17.6
479,tucuman,0,PE,1553203490,57,-17.17,-70.89,70.27,4
480,ayan,0,TR,1553203490,73,40.67,33.6,25.18,2.1
481,thai nguyen,75,VN,1553200200,88,21.59,105.84,77,5.82
482,harper,40,US,1553203325,43,30.3,-99.24,75.99,4.34
483,rurrenabaque,75,BO,1553198400,83,-14.44,-67.53,77,8.05
484,baoqing,32,CN,1553203491,80,46.32,132.2,17.53,7.36
485,chanute,1,US,1553203283,46,37.68,-95.46,63,14.99
486,bosaso,0,SO,1553203491,100,11.28,49.18,75.85,6.13
487,matay,0,EG,1553203492,57,28.42,30.79,56.86,4.63
488,san lawrenz,20,MT,1553202915,100,36.06,14.2,53.6,1.12
489,skjervoy,75,NO,1553199600,59,70.03,20.97,35.6,36.91
490,toro,75,CO,1553202000,100,4.61,-76.08,80.6,4.7
491,goderich,64,CA,1553203417,95,43.74,-81.71,37.99,7.76
492,akora,0,NE,1553203493,18,14.37,3.46,83.59,10.6
493,slave lake,1,CA,1553202000,32,55.28,-114.77,53.6,13.87
494,sri aman,64,MY,1553198400,94,1.24,111.46,77,2.39
495,kodarma,0,IN,1553203494,73,24.47,85.59,64.78,2.73
496,agadez,0,NE,1553203494,24,16.97,7.99,77.83,11.05
497,leshukonskoye,92,RU,1553203494,86,64.9,45.76,31.21,5.86
498,beaumont,1,US,1553203202,31,30.09,-94.1,77,8.05
499,mayumba,92,GA,1553203495,98,-3.44,10.65,81.43,5.23
500,rizhao,0,CN,1553203495,79,35.43,119.46,30.49,5.64
501,parrita,75,CR,1553202000,60,9.52,-84.33,80.6,23.04
502,sinjar,48,SY,1553203496,63,35.59,37,51.55,1.32
503,port augusta,90,AU,1553202977,93,-32.49,137.76,66.2,11.41
504,marrakesh,0,MA,1553202000,36,31.63,-7.99,64.4,6.93
505,mayskiy,90,RU,1553198400,57,43.63,44.06,48.2,11.18
506,sorland,75,NO,1553201400,55,67.67,12.69,35.6,23.04
507,puerto escondido,40,MX,1553201100,70,15.86,-97.07,84.2,11.41
508,haines junction,0,CA,1553203497,58,60.75,-137.51,43.18,2.77
509,leh,80,IN,1553203498,76,34.16,77.58,1.51,1.77
510,basco,20,US,1553203275,50,40.33,-91.2,54,13.87
511,ilieni,0,RO,1553203486,84,45.79,25.77,39,1.01
512,mehran,0,IR,1553198400,52,33.12,46.17,39.2,4.7
513,warri,0,NG,1553203498,85,5.52,5.75,79.99,9.78
514,eyl,0,SO,1553203499,100,7.98,49.82,73.78,8.81
515,zunyi,88,CN,1553203499,76,27.73,106.92,51.37,11.61
516,birjand,20,IR,1553198400,48,32.86,59.22,44.6,4.7
517,quatre cocos,40,MU,1553203441,74,-20.21,57.76,82.4,4.7
518,pushkar,0,IN,1553203499,31,26.49,74.56,66.49,10.33
519,nivala,88,FI,1553203205,63,63.93,24.96,35.01,17
520,plettenberg bay,0,ZA,1553203500,100,-34.05,23.37,63.34,4.12
521,otterup,56,DK,1553203200,93,55.52,10.4,46.4,10.29
522,smithers,20,CA,1553202000,39,54.78,-127.17,50,3.36
523,kamenka,88,RU,1553200993,78,53.19,44.05,35.01,4.79
524,ekhabi,56,RU,1553203501,81,53.51,142.97,-4.89,5.57
525,olavarria,68,AR,1553203227,45,-36.89,-60.32,66.49,8.55
526,gainesville,1,US,1553203469,28,29.65,-82.33,73,19.46
527,vila do maio,0,CV,1553202000,68,15.13,-23.22,69.8,13.87
528,myrtle beach,75,US,1553203499,39,33.7,-78.89,66,16.11
529,miramar,0,CR,1553198400,48,10.09,-84.73,82.4,20.8
530,kurumkan,8,RU,1553203502,61,54.33,110.32,-10.29,1.99
531,san carlos,20,VE,1553203503,50,9.66,-68.59,90.43,5.12
532,dunedin,12,NZ,1553203417,86,-45.87,170.5,64.99,4
